Title,Authors,Conference,Cited_url,Cited_count,Year
Inferring content-centric traffic for opportunistic networking from geo-location social networks,P Sermpezis; T Spyropoulos,2015 IEEE 16th International Symposium on A World of Wireless; Mobile and …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=5617936953128987214,7,2015
To scan or not to scan: The effect of channel heterogeneity on optimal scanning policies,F Mehmeti; T Spyropoulos,2013 IEEE International Conference on Sensing; Communications and Networking …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=13118434318296906932,7,2013
Information diffusion in heterogeneous networks: The configuration model approach,P Sermpezis; T Spyropoulos,2013 Proceedings IEEE INFOCOM; 3261-3266,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3167486658202554701,7,2013
Performance analysis; comparison; and optimization of interweave and underlay spectrum access in cognitive radio networks,F Mehmeti; T Spyropoulos,IEEE Transactions on Vehicular Technology 67 (8); 7143-7157,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=8461734659530730184,6,2018
Robust User Association for Ultra Dense Networks,N Liakopoulos; G Paschos; T Spyropoulos,IEEE INFOCOM 2018-IEEE Conference on Computer Communications; 2690-2698,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=18198774081031711523,6,2018
Joint precoding over a master-slave coordination link,Q Li; D Gesbert; N Gresset,2014 IEEE International Conference on Acoustics; Speech and Signal …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16728489177807552047,6,2014
Including pedestrian and bicycle traffic into the traffic simulation SUMO,D Krajzewicz; J Erdmann; J Härri; T Spyropoulos,,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=12876964784553061081,6,2014
Point to multipoint transport in multichannel wireless environments,H Khalifé; V Conan; J Leguay; T Spyropoulos,2013 IEEE Wireless Communications and Networking Conference (WCNC); 1404-1409,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=7017096946697043727,6,2013
Analysis of cognitive user performance under generic primary user activity,F Mehmeti; T Spyropoulos; P Sermpezis,Tech. Rep.; EURECOM,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=7832957018726679071,6,2012
Performance of distributed algorithms in DTNs: Towards an analytical framework for heterogeneous mobility,A Picu; T Spyropoulos,2011 IEEE Global Telecommunications Conference-GLOBECOM 2011; 1-6,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6353030067552975483,6,2011
Femto-caching with soft cache hits: Improving performance through recommendation and delivery of related content,P Sermpezis; T Spyropoulos; L Vigneri; T Giannakas,arXiv preprint arXiv:1702.04943,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6348385117610117212,5,2017
An analytical model for flow-level performance of large; randomly placed small cell networks,G Arvanitakis; T Spyropoulos; F Kaltenberger,2016 IEEE Global Communications Conference (GLOBECOM); 1-7,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=17138394843009681549,5,2016
Buffer management policies for DTN applications with different QoS requirements,P Matzakos; T Spyropoulos; C Bonnet,2015 IEEE Global Communications Conference (GLOBECOM); 1-7,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=284304192465290216,5,2015
