id,name,affiliation,sampled_type,pubs_count,est_cits,journal_pubs_count,conference_pubs_count,nontech_pubs_count,journal_est_cits,conference_est_cits,nontech_est_cits,org_h_index,tech_h_index
1975533042,Yu. S. Kardasheva,Moscow State University,europe_randoms,31,145,29,0,0,145,0,0,8,8
2430236278,Ruziedi Y. Ridwan,Erasmus University Rotterdam,europe_randoms,1,14,1,0,0,14,0,0,1,1
2772473399,Josephus J Heijnen,Delft University of Technology,europe_randoms,1,101,1,0,0,101,0,0,1,1
2091560073,J.M. Dunsdon,University of Southampton,europe_randoms,12,342,10,0,0,342,0,0,9,9
2556256046,Paulo Cajano,University of Aberdeen,europe_randoms,1,8,1,0,0,8,0,0,1,1
854442413,C Campos Esteve,Autonomous University of Barcelona,europe_randoms,1,7,0,0,0,0,0,0,1,1
2639526897,Richard W. Latcham,University of Edinburgh,europe_randoms,4,172,4,0,3,172,0,149,4,1
2776611040,Carina Neil,University of Nottingham,europe_randoms,1,0,0,0,0,0,0,0,0,0
2289256405,R. S. Tobias,University of Birmingham,europe_randoms,30,1461,30,0,0,1461,0,0,16,16
2964235845,X. Cid Vidal,University of Barcelona,europe_randoms,90,595,7,0,0,549,0,0,4,4
2153226895,Chantal Hauser,University of Bern,europe_randoms,5,604,3,0,0,593,0,0,4,4
2105116022,Kaushik Rakshit,Queen Mary University of London,europe_randoms,1,10,1,0,0,10,0,0,1,1
2642996333,Eva Bastida,University of Barcelona,europe_randoms,52,1431,45,0,0,1424,0,0,17,17
2154477604,William Harrison,"Trinity College, Dublin",europe_randoms,53,4963,14,30,0,611,4088,0,19,19
2516823216,Renata Spanicciati,Sapienza University of Rome,europe_randoms,1,2,1,0,0,2,0,0,1,1
2173072311,Kevin Theakston,University of Leeds,europe_randoms,69,272,34,0,0,204,0,0,10,10
2054026414,Tonje Castberg,University of Bergen,europe_randoms,9,1142,9,0,0,1142,0,0,9,9
2145103192,Heikki Korpi,University of Helsinki,europe_randoms,10,355,10,0,0,355,0,0,8,8
2119344948,John J. Longridge,University of Cambridge,europe_randoms,8,51,8,0,0,51,0,0,3,3
787147280,Chen Zhong-Liang,Technical University of Berlin,europe_randoms,1,58,1,0,0,58,0,0,1,1
2127142233,Christopher M. Smith,University of Cambridge,europe_randoms,28,5773,27,0,0,5772,0,0,19,19
2750252449,Eugene M. van Oers,Eindhoven University of Technology,europe_randoms,1,33,1,0,0,33,0,0,1,1
2668296707,Jingxia Shao,Leiden University,europe_randoms,2,78,2,0,0,78,0,0,2,2
2746456932,Pia Bøttiger Mørch,University of Copenhagen,europe_randoms,1,0,0,0,0,0,0,0,0,0
2284585368,Carolyn Heitmeyer,London School of Economics and Political Science,europe_randoms,1,0,1,0,0,0,0,0,0,0
2656696449,V. Varoli,Polytechnic University of Milan,europe_randoms,1,13,1,0,0,13,0,0,1,1
2945372314,Tobias Forster,Heidelberg University,europe_randoms,12,7,8,0,0,7,0,0,1,1
1968616541,John Kerrigan,University of Cambridge,europe_randoms,51,275,18,0,0,34,0,0,5,5
2565691196,Peter F. Renz,University of Zurich,europe_randoms,3,13,3,0,0,13,0,0,1,1
2693223552,Horst Albach,Humboldt University of Berlin,europe_randoms,27,57,9,0,0,19,0,0,4,4
2511143242,Lara Perski,University of Oxford,europe_randoms,1,0,1,0,0,0,0,0,0,0
2569548854,Gorantla P. Sivahari,Technische Universität München,europe_randoms,1,1,1,0,0,1,0,0,1,1
2475595574,U. Löhnert,Ludwig Maximilian University of Munich,europe_randoms,1,0,0,0,0,0,0,0,0,0
1463215419,Kristian Nymoen,University of Oslo,europe_randoms,51,384,7,20,1,108,193,9,9,9
2797843968,Aias Retsinas,University of Southampton,europe_randoms,1,0,0,0,0,0,0,0,0,0
2115090870,Benjamin Gaertner,Karlsruhe Institute of Technology,europe_randoms,9,195,9,0,0,195,0,0,7,7
2637883024,E. S. Barnes,"Trinity College, Dublin",europe_randoms,1,5,0,0,0,0,0,0,1,1
2556049729,L. Viti,Sapienza University of Rome,europe_randoms,1,0,1,0,0,0,0,0,0,0
2981302612,Winnie G. Vos,University of Amsterdam,europe_randoms,1,0,1,0,0,0,0,0,0,0
2327577649,Marc Fuchs,Queen's University Belfast,europe_randoms,2,64,2,0,0,64,0,0,1,1
2991148583,Nele Van Den Noortgate,Vrije Universiteit Brussel,europe_randoms,24,43,5,0,1,41,0,0,2,2
2704997824,Mino Sparenberg,Humboldt University of Berlin,europe_randoms,6,32,5,0,0,30,0,0,3,3
2635073364,J W Allen,University of Nottingham,europe_randoms,1,5,0,0,0,0,0,0,1,1
2648349872,Marc van den Broek,University of Amsterdam,europe_randoms,1,5,1,0,1,5,0,5,1,0
2563160985,Ma Mercedes Ramos,University of Barcelona,europe_randoms,1,18,1,0,0,18,0,0,1,1
2461920295,J. Kinane,"Trinity College, Dublin",europe_randoms,3,0,2,0,0,0,0,0,0,0
2710012037,Denise Shelley Newnham,University of Helsinki,europe_randoms,2,1,2,0,0,1,0,0,1,1
2108974579,Gerbrich N. van der Meulen,University of Groningen,europe_randoms,3,45,3,0,0,45,0,0,3,3
2502199598,C.T. Rieck,University of Hamburg,europe_randoms,1,14,1,0,0,14,0,0,1,1
2688352169,Holger Drews,University of Hamburg,europe_randoms,1,22,1,0,0,22,0,0,1,1
2038313738,Katrijn Cobbaut,Ghent University,europe_randoms,6,54,4,0,0,54,0,0,3,3
2584033447,Katarzyna Cieslik,Wageningen University and Research Centre,europe_randoms,12,68,8,0,0,61,0,0,4,4
1217105845,Andrew Vansickle,Imperial College London,europe_randoms,1,22,1,0,0,22,0,0,1,1
326927699,Leonie Sundmacher,Ludwig Maximilian University of Munich,europe_randoms,58,533,48,0,0,430,0,0,13,13
2632990749,Don Hendrick,Free University of Berlin,europe_randoms,2,20,2,0,0,20,0,0,2,2
2116378435,K. Wildhagen,University of Bergen,europe_randoms,1,166,1,0,0,166,0,0,1,1
2689509410,Rachael E. Meller,University of Cambridge,europe_randoms,1,162,1,0,0,162,0,0,1,1
