nid,url,title,logo,core_id,score,rank_display,country,region,stars,guide,rank,name_for_searching_gs,org_id
294857,/universities/university-michigan,University of Michigan,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-michigan_403_small_0.jpg"" alt=""University of Michigan Logo"">",403,86,21,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",21,University+of+Michigan,-1
294184,/universities/johns-hopkins-university,Johns Hopkins University,"<img src=""https://www.topuniversities.com/sites/default/files/johns-hopkins-university_305_small_0.jpg"" alt=""Johns Hopkins University Logo"">",305,83.9,24,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",24,Johns+Hopkins+University,-1
294490,/universities/duke-university,Duke University,"<img src=""https://www.topuniversities.com/sites/default/files/duke-university_168_small_0.jpg"" alt=""Duke University Logo"">",168,83.8,25,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",25,Duke+University,-1
294572,/universities/university-california-berkeley-ucb,"University of California, Berkeley (UCB)","<img src=""https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_small.jpg"" alt=""University of California, Berkeley (UCB) Logo"">",84,82.6,28,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",28,"University+of+California,+Berkeley",-1
297242,/universities/university-toronto,University of Toronto,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-toronto_619_small.jpg"" alt=""University of Toronto Logo"">",619,82.1,29,Canada,North America,,"<a href=""/where-to-study/north-america/canada/guide"" class=""guide-link"" target=""_blank"">Canada</a>",29,University+of+Toronto,-1
294767,/universities/northwestern-university,Northwestern University,"<img src=""https://www.topuniversities.com/sites/default/files/northwestern-university_456_small_0.jpg"" alt=""Northwestern University Logo"">",456,81.5,31,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",31,Northwestern+University,-1
294864,/universities/mcgill-university,McGill University,"<img src=""https://www.topuniversities.com/sites/default/files/mcgill-university_592560cf2aeae70239af4c10_small_1.jpg"" alt=""McGill University Logo"">",396,80.4,35,Canada,North America,,"<a href=""/where-to-study/north-america/canada/guide"" class=""guide-link"" target=""_blank"">Canada</a>",35,McGill+University,-1
294569,/universities/university-california-los-angeles-ucla,"University of California, Los Angeles (UCLA)","<img src=""https://www.topuniversities.com/sites/default/files/university-of-california-los-angeles-ucla_87_small.jpg"" alt=""University of California, Los Angeles (UCLA) Logo"">",87,80.4,35,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",35,"University+of+California,+Los+Angeles",-1
294786,/universities/new-york-university-nyu,New York University (NYU),"<img src=""https://www.topuniversities.com/sites/default/files/new-york-university-nyu_448_small_0.jpg"" alt=""New York University (NYU) Logo"">",448,78.8,39,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",39,New+York+University,-1
294567,/universities/university-california-san-diego-ucsd,"University of California, San Diego (UCSD)","<img src=""https://www.topuniversities.com/sites/default/files/university-of-california-san-diego-ucsd_89_small.jpg"" alt=""University of California, San Diego (UCSD) Logo"">",89,76.6,45,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",45,"University+of+California,+San+Diego",-1
294555,/universities/carnegie-mellon-university,Carnegie Mellon University,"<img src=""https://www.topuniversities.com/sites/default/files/carnegie-mellon-university_101_small.jpg"" alt=""Carnegie Mellon University Logo"">",101,74.8,48,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",48,Carnegie+Mellon+University,-1
294586,/universities/university-british-columbia,University of British Columbia,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-british-columbia_70_small.jpg"" alt=""University of British Columbia Logo"">",70,74.1,51,Canada,North America,,"<a href=""/where-to-study/north-america/canada/guide"" class=""guide-link"" target=""_blank"">Canada</a>",51,University+of+British+Columbia,-1
297183,/universities/university-wisconsin-madison,University of Wisconsin-Madison,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-wisconsin-madison_678_small.jpg"" alt=""University of Wisconsin-Madison Logo"">",678,71.8,56,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",56,University+of+Wisconsin-Madison,-1
294584,/universities/brown-university,Brown University,"<img src=""https://www.topuniversities.com/sites/default/files/brown-university_72_small_0.jpg"" alt=""Brown University Logo"">",72,71.5,57,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",57,Brown+University,-1
297257,/universities/university-texas-austin,University of Texas at Austin,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-texas-at-austin_604_small.jpg"" alt=""University of Texas at Austin Logo"">",604,68.6,65,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",65,University+of+Texas+at+Austin,-1
297194,/universities/university-washington,University of Washington,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-washington_592560cf2aeae70239af4d1e_small.jpg"" alt=""University of Washington Logo"">",667,67.9,68,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",68,University+of+Washington,-1
294349,/universities/georgia-institute-technology,Georgia Institute of Technology,"<img src=""https://www.topuniversities.com/sites/default/files/georgia-institute-of-technology_225_small.jpg"" alt=""Georgia Institute of Technology Logo"">",225,66.2,72,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",72,Georgia+Institute+of+Technology,-1
